Type                                  Module                      Label             Process   
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedGlobalMuons"      ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "HLT"     
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "HLT"     
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "cscSegments"               ""                "HLT"     
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DCosmicSegments"        ""                "HLT"     
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DSegments"              ""                "HLT"     
edm::RangeMap<GEMDetId,edm::OwnVector<GEMRecHit,edm::ClonePolicy<GEMRecHit> >,edm::ClonePolicy<GEMRecHit> >    "gemRecHits"                ""                "HLT"     
edm::RangeMap<GEMDetId,edm::OwnVector<GEMSegment,edm::ClonePolicy<GEMSegment> >,edm::ClonePolicy<GEMSegment> >    "gemSegments"               ""                "HLT"     
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "HLT"     
edm::SortedCollection<CastorRecHit,edm::StrictWeakOrdering<CastorRecHit> >    "castorreco"                ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEB"      ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsEE"      ""                "HLT"     
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEcalRecHitsES"      ""                "HLT"     
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedHcalRecHits"        "hbhereco"        "HLT"     
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "reducedHcalRecHits"        "hfreco"          "HLT"     
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "reducedHcalRecHits"        "horeco"          "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edm::ValueMap<bool>                   "chargedHadronPFTrackIsolation"   ""                "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLoose"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLoose"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDLooseEM"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDLooseEM"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProd"              "PhotonCutBasedIDTight"   "HLT"     
edm::ValueMap<bool>                   "PhotonIDProdGED"           "PhotonCutBasedIDTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidAllArbitrated"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMStaChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkChiCompatibility"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGMTkKinkTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidGlobalMuonPromptTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidRPCMuLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTM2DCompatibilityTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationOptimizedLowPtTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMLastStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "HLT"     
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueNeutralHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValuePU04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueCharged04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueChargedAll04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGamma04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueGammaHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutral04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValueNeutralHighThreshold04"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU03"   "HLT"     
edm::ValueMap<double>                 "muons"                     "muPFSumDRIsoValuePU04"   "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "electrons"       "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "muons"           "HLT"     
edm::ValueMap<edm::Ptr<reco::PFCandidate> >    "particleFlow"              "photons"         "HLT"     
edm::ValueMap<float>                  "ak8PFJetsCHSSoftDropMass"   ""                "HLT"     
edm::ValueMap<float>                  "eidLoose"                  ""                "HLT"     
edm::ValueMap<float>                  "eidRobustHighEnergy"       ""                "HLT"     
edm::ValueMap<float>                  "eidRobustLoose"            ""                "HLT"     
edm::ValueMap<float>                  "eidRobustTight"            ""                "HLT"     
edm::ValueMap<float>                  "eidTight"                  ""                "HLT"     
edm::ValueMap<float>                  "offlinePrimaryVertices"    ""                "HLT"     
edm::ValueMap<float>                  "offlinePrimaryVerticesWithBS"   ""                "HLT"     
edm::ValueMap<int>                    "offlinePrimaryVertices"    ""                "HLT"     
edm::ValueMap<int>                    "offlinePrimaryVerticesWithBS"   ""                "HLT"     
edm::ValueMap<int>                    "dedxHitInfo"               "prescale"        "HLT"     
edm::ValueMap<reco::CastorJetID>      "ak5CastorJetID"            ""                "HLT"     
edm::ValueMap<reco::CastorJetID>      "ak7CastorJetID"            ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxHarmonic2"             ""                "HLT"     
edm::ValueMap<reco::DeDxData>         "dedxPixelHarmonic2"        ""                "HLT"     
edm::ValueMap<reco::JetID>            "ak4JetID"                  ""                "HLT"     
edm::ValueMap<reco::MuonCosmicCompatibility>    "muons"                     "cosmicsVeto"     "HLT"     
edm::ValueMap<reco::MuonMETCorrectionData>    "muonMETValueMapProducer"   "muCorrData"      "HLT"     
edm::ValueMap<reco::MuonShower>       "muons"                     "muonShowerInformation"   "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "combined"        "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "csc"             "HLT"     
edm::ValueMap<reco::MuonTimeExtra>    "muons"                     "dt"              "HLT"     
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedGsfElectrons"   "HLT"     
edm::ValueMap<vector<edm::Ref<vector<reco::PFCandidate>,reco::PFCandidate,edm::refhelper::FindUsingAdvance<vector<reco::PFCandidate>,reco::PFCandidate> > > >    "particleBasedIsolation"    "gedPhotons"      "HLT"     
edm::ValueMap<unsigned int>           "muons"                     "cosmicsVeto"     "HLT"     
float                                 "genParticles"              "t0"              "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "HLT"     
reco::BeamSpot                        "offlineBeamSpot"           ""                "HLT"     
reco::BeamSpot                        "onlineMetaDataDigis"       ""                "HLT"     
reco::CSCHaloData                     "CSCHaloData"               ""                "HLT"     
